model_key,category,baseline_avg_det_score,retrieval_avg_det_score,delta_avg_det_score,baseline_det_pass_rate,retrieval_det_pass_rate,delta_det_pass_rate,baseline_gt_exact_rate,retrieval_gt_exact_rate,delta_gt_exact_rate,baseline_warm_latency_p50,retrieval_warm_latency_p50,delta_warm_latency_p50,reduction_pct_warm_latency_p50,baseline_avg_prompt_tokens,retrieval_avg_prompt_tokens,delta_avg_prompt_tokens,reduction_pct_avg_prompt_tokens,baseline_avg_total_tokens,retrieval_avg_total_tokens,delta_avg_total_tokens,baseline_peak_vram_gb_max,retrieval_peak_vram_gb_max,delta_peak_vram_gb_max,reduction_pct_peak_vram_gb_max,baseline_generation_error_rate,retrieval_generation_error_rate,delta_generation_error_rate,baseline_failure_rate,retrieval_failure_rate,delta_failure_rate,baseline_row_success_rate,retrieval_row_success_rate,delta_row_success_rate
qwen25_coder_14b,1,72.6249,83.7689,11.144000000000005,0.5667,0.6667,0.09999999999999998,0.4,0.4333,0.033299999999999996,19.165,6.8266,-12.3384,64.37985911818419,34226.2667,11707.5,-22518.7667,65.7938153096902,34275.1667,11764.3,-22510.866700000002,37.7661,31.52,-6.246100000000002,16.53890658553571,0.0,0.0,0.0,0.4333,0.3333,-0.10000000000000003,0.5667,0.6667,0.09999999999999998
qwen25_coder_14b,2,89.9007,89.9007,0.0,0.8333,0.8333,0.0,0.4,0.4,0.0,4.8007,4.7817,-0.019000000000000128,0.39577561605599454,7099.3333,7099.3333,0.0,0.0,7155.3667,7155.3667,0.0,32.1137,32.1128,-0.0009000000000014552,0.0028025422171890973,0.0,0.0,0.0,0.1667,0.1667,0.0,0.8333,0.8333,0.0
qwen25_coder_14b,3,60.4259,67.1751,6.749200000000002,0.0667,0.1,0.03330000000000001,0.0,0.0,0.0,12.2195,6.0049,-6.2146,50.858054748557635,19926.1,8628.9333,-11297.166699999998,56.695322717440945,19988.7333,8693.7,-11295.0333,37.7691,31.658,-6.1111,16.18015785390703,0.0,0.0,0.0,0.9333,0.9,-0.033299999999999996,0.0667,0.1,0.03330000000000001
qwen25_coder_14b,4,61.4427,68.7793,7.336600000000004,0.0,0.0667,0.0667,0.0,0.0,0.0,13.0365,6.9516,-6.0849,46.67587159130135,20048.2333,8508.1667,-11540.0666,57.561513911552495,20118.5,8581.6667,-11536.8333,37.767,31.1797,-6.587300000000003,17.441946673021427,0.0,0.0,0.0,1.0,0.9333,-0.06669999999999998,0.0,0.0667,0.0667
qwen25_coder_14b,5,65.7727,68.9473,3.174599999999998,0.1333,0.1,-0.033299999999999996,0.0,0.0,0.0,13.0393,7.0705,-5.968800000000001,45.77546340677797,20522.1667,9174.0667,-11348.100000000002,55.29679280891916,20594.3,9249.5333,-11344.7667,37.7688,31.3229,-6.445899999999998,17.066732329330026,0.0,0.0,0.0,0.8667,0.9,0.033299999999999996,0.1333,0.1,-0.033299999999999996
qwen25_coder_14b,6,50.5862,70.2298,19.6436,0.0667,0.0667,0.0,0.0,0.0,0.0,13.3423,8.1264,-5.2158999999999995,39.09295998441048,20215.2333,8880.1,-11335.1333,56.0722358816408,20291.2,8976.7667,-11314.4333,37.7772,31.3496,-6.427600000000002,17.014495515813778,0.0,0.0,0.0,0.9333,0.9333,0.0,0.0667,0.0667,0.0
qwen25_coder_14b,7,64.831,69.5913,4.760300000000001,0.26,0.32,0.06,0.04,0.04,0.0,13.5641,7.0618,-6.5023,47.937570498595555,20571.7,9698.08,-10873.62,52.85717757890694,20650.0,9774.02,-10875.98,37.7784,31.9259,-5.852499999999999,15.491656608008809,0.0,0.0,0.0,0.74,0.68,-0.05999999999999994,0.26,0.32,0.06
qwen25_coder_14b,8,68.1384,70.9334,2.7950000000000017,0.18,0.2,0.020000000000000018,0.0,0.0,0.0,14.5425,7.7356,-6.806900000000001,46.80694516073578,20373.54,9136.22,-11237.320000000002,55.156443111997234,20457.86,9220.44,-11237.42,37.778,31.4584,-6.319599999999998,16.72825453967917,0.0,0.0,0.0,0.82,0.8,-0.019999999999999907,0.18,0.2,0.020000000000000018
qwen25_coder_7b,1,58.0987,51.4129,-6.6858,0.3667,0.3667,0.0,0.2333,0.2667,0.033399999999999985,8.5951,2.8721,-5.723000000000001,66.5844492792405,34226.2667,11707.5,-22518.7667,65.7938153096902,34270.4,11748.5,-22521.9,20.5827,16.6856,-3.8970999999999982,18.93386193259387,0.0,0.0,0.0,0.6333,0.6333,0.0,0.3667,0.3667,0.0
qwen25_coder_7b,2,82.897,83.1826,0.2855999999999881,0.7667,0.7667,0.0,0.2667,0.3,0.033299999999999996,2.6429,2.4286,-0.21430000000000016,8.108517159181208,7099.3333,7099.3333,0.0,0.0,7154.8,7154.9,0.0999999999994543,17.0556,17.0548,-0.0007999999999981355,0.004690541523007901,0.0,0.0,0.0,0.2333,0.2333,0.0,0.7667,0.7667,0.0
