model_key,category,generation,mean_DETPass
llama31_8b,1,1,100.0
llama31_8b,1,10,100.0
llama31_8b,1,2,100.0
llama31_8b,1,3,75.0
llama31_8b,1,4,75.0
llama31_8b,1,5,75.0
llama31_8b,1,6,75.0
llama31_8b,1,7,100.0
llama31_8b,1,8,100.0
llama31_8b,1,9,100.0
llama31_8b,2,1,100.0
llama31_8b,2,10,100.0
llama31_8b,2,2,100.0
llama31_8b,2,3,100.0
llama31_8b,2,4,100.0
llama31_8b,2,5,100.0
llama31_8b,2,6,100.0
llama31_8b,2,7,100.0
llama31_8b,2,8,100.0
llama31_8b,2,9,100.0
llama31_8b,3,1,0.0
llama31_8b,3,10,25.0
llama31_8b,3,2,0.0
llama31_8b,3,3,0.0
llama31_8b,3,4,0.0
llama31_8b,3,5,25.0
llama31_8b,3,6,25.0
llama31_8b,3,7,25.0
llama31_8b,3,8,25.0
llama31_8b,3,9,25.0
llama31_8b,4,1,50.0
llama31_8b,4,10,75.0
llama31_8b,4,2,75.0
llama31_8b,4,3,75.0
llama31_8b,4,4,75.0
llama31_8b,4,5,75.0
llama31_8b,4,6,75.0
llama31_8b,4,7,75.0
llama31_8b,4,8,75.0
llama31_8b,4,9,75.0
llama31_8b,5,1,50.0
llama31_8b,5,10,100.0
llama31_8b,5,2,75.0
llama31_8b,5,3,75.0
llama31_8b,5,4,75.0
llama31_8b,5,5,75.0
llama31_8b,5,6,75.0
llama31_8b,5,7,75.0
llama31_8b,5,8,100.0
llama31_8b,5,9,100.0
llama31_8b,6,1,50.0
llama31_8b,6,10,50.0
llama31_8b,6,2,50.0
llama31_8b,6,3,50.0
llama31_8b,6,4,50.0
llama31_8b,6,5,50.0
llama31_8b,6,6,50.0
llama31_8b,6,7,50.0
llama31_8b,6,8,50.0
llama31_8b,6,9,50.0
llama31_8b,7,1,25.0
llama31_8b,7,10,50.0
llama31_8b,7,2,50.0
llama31_8b,7,3,50.0
llama31_8b,7,4,75.0
llama31_8b,7,5,75.0
llama31_8b,7,6,75.0
llama31_8b,7,7,75.0
llama31_8b,7,8,75.0
llama31_8b,7,9,50.0
llama31_8b,8,1,100.0
llama31_8b,8,10,100.0
llama31_8b,8,2,100.0
llama31_8b,8,3,100.0
llama31_8b,8,4,100.0
llama31_8b,8,5,100.0
llama31_8b,8,6,100.0
llama31_8b,8,7,100.0
llama31_8b,8,8,100.0
llama31_8b,8,9,100.0
