model_key,category,generation,DETPass,SDET,fitness,prompt_tokens,latency_sec,genome_id
llama31_8b,1,1,100.0,100.0,69.9,77612,22.0179,gene-d99150b1-96d1-a1ae-1d75-a14ee7320c9f
llama31_8b,1,2,100.0,100.0,69.9,66044,18.6592,cross-2485f743-21db-e83c-5606-ba9cf4c5ddd6
llama31_8b,1,3,75.0,86.8834,91.9434,119582,36.9247,mut-b2c3876c-88d6-cd8b-69e2-32a5fffb9170
llama31_8b,1,4,75.0,86.8834,91.9434,119582,36.9035,cross-2af85447-22fe-0324-46b8-f7f8e31565a8
llama31_8b,1,5,75.0,86.8834,91.9434,119582,36.9187,clone-e13928ec-b803-f546-be11-f390f1a60ba6
llama31_8b,1,6,75.0,86.8834,91.9434,119582,36.9796,clone-84e6c3c0-2c76-afb0-f8d5-616b9b6be197
llama31_8b,1,7,100.0,97.418,91.9434,119646,35.5547,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43
llama31_8b,1,8,100.0,97.418,91.9434,119646,35.5488,mut-4b992f59-c5ec-04a9-e5b3-6f159539cf43
llama31_8b,1,9,100.0,97.418,91.9434,119646,35.5327,clone-2ce119c1-3302-157d-d1d3-61443580a91c
llama31_8b,1,10,100.0,97.418,91.9434,119646,35.4711,clone-15576edb-f82e-c7cd-386f-ef24e5560f92
llama31_8b,2,1,100.0,97.8422,93.2031,59781,18.825,gene-8a7c368e-df5c-ed9b-f06f-c08ae3500b23
llama31_8b,2,2,100.0,98.5998,93.2031,79071,24.1531,cross-21605df2-e380-adcd-c1f4-b15fccf6cf84
llama31_8b,2,3,100.0,100.0,93.2031,65809,20.1356,mut-1be1fb11-ae8d-f266-6ee0-200f0889aa91
llama31_8b,2,4,100.0,100.0,93.2031,65809,20.236,cross-ed14a55c-acf7-ca69-4037-b393cbab103d
llama31_8b,2,5,100.0,100.0,93.2031,65809,20.196,cross-122fffcf-6a80-6f74-38ec-6d0d39d0c5a3
llama31_8b,2,6,100.0,100.0,93.2031,65809,20.2145,clone-e253af50-1789-8fdd-a34b-a362fd6eac1b
llama31_8b,2,7,100.0,100.0,93.2031,65809,20.211,clone-0d5fa22a-3a26-ed83-98c8-e576eef94e2a
llama31_8b,2,8,100.0,100.0,93.2031,65809,20.128,clone-0d5fa22a-3a26-ed83-98c8-e576eef94e2a
llama31_8b,2,9,100.0,100.0,93.2031,65809,20.2298,clone-0d5fa22a-3a26-ed83-98c8-e576eef94e2a
llama31_8b,2,10,100.0,100.0,93.2031,65809,20.2285,clone-0d5fa22a-3a26-ed83-98c8-e576eef94e2a
llama31_8b,3,1,0.0,48.1125,97.6651,162310,55.0405,gene-00424a81-4295-3dc7-190f-62a60a6366ae
